Hours_Studied,Attendance,Sleep_Hours,Previous_Score,Result
4.28,93.47,9.79,51.99,Pass
0.25,53.3,5.92,36.98,Fail
1.08,99.35,4.21,43.32,Fail
0.31,70.03,9.52,85.34,Fail
6.36,58.53,5.15,86.45,Pass
3.14,96.78,8.5,83.73,Pass
5.09,52.27,5.22,35.31,Fail
9.08,73.51,8.97,37.74,Pass
2.49,88.51,9.44,46.33,Fail
4.1,65.84,4.63,98.56,Fail
7.56,76.44,4.88,49.24,Pass
2.29,85.02,9.55,95.43,Pass
0.77,97.6,8.62,76.14,Fail
2.9,55.14,4.23,31.92,Fail
1.61,57.86,5.09,64.12,Fail
9.3,75.44,6.47,88.53,Pass
8.08,70.92,9.19,34.45,Pass
6.33,70.54,4.91,72.69,Pass
8.71,64.85,8.34,52.43,Pass
8.04,78.03,4.5,44.02,Pass
1.87,94.16,6.8,66.99,Fail
8.93,58.05,8.37,85.72,Pass
5.39,60.76,4.39,84.5,Fail
8.07,83.54,5.23,42.19,Pass
8.96,52.81,8.75,54.37,Pass
3.18,83.69,4.98,54.37,Fail
1.1,65.72,8.01,87.71,Fail
2.28,67.89,7.85,64.74,Fail
4.27,70.28,7.12,56.27,Fail
8.18,67.48,5.21,86.36,Pass
8.61,92.06,6.5,92.37,Pass
0.07,97.3,7.73,52.67,Fail
5.11,77.4,9.29,98.97,Pass
4.17,79.09,8.79,67.5,Pass
2.22,53.52,7.64,34.33,Fail
1.2,85.66,5.37,55.6,Fail
3.38,79.2,5.3,68.1,Fail
9.43,52.52,8.88,87.85,Pass
3.23,59.92,7.99,79.64,Fail
5.19,60.1,6.15,43.97,Fail
7.03,58.55,9.83,59.66,Pass
3.64,82.93,9.34,36.88,Fail
9.72,96.42,8.03,91.41,Pass
9.62,88.15,6.22,30.26,Pass
2.52,73.87,5.85,48.25,Fail
4.97,70.2,9.64,83.36,Pass
3.01,69.32,6.66,31.54,Fail
2.85,80.06,8.8,80.47,Pass
0.37,67.96,9.64,75.8,Fail
6.1,61.31,6.95,61.18,Pass
5.03,80.14,7.92,39.89,Fail
0.51,69.54,4.52,51.66,Fail
2.79,50.71,7.92,43.94,Fail
9.08,51.11,5.29,30.42,Pass
2.4,63.71,8.02,55.74,Fail
1.45,75.62,4.61,93.17,Fail
4.89,67.71,6.97,63.57,Fail
9.86,51.2,7.13,72.04,Pass
2.42,61.16,6.9,95.9,Fail
6.72,54.82,8.54,61.56,Pass
7.62,97.43,8.53,70.84,Pass
2.38,65.64,8.24,36.47,Fail
7.28,50.74,7.79,39.36,Pass
3.68,83.03,9.43,70.88,Pass
6.32,61.62,7.45,33.34,Fail
6.34,78.34,6.09,32.51,Fail
5.36,57.54,4.36,37.32,Fail
0.9,99.2,7.21,46.32,Fail
8.35,98.51,5.37,36.83,Pass
3.21,82.8,6.32,47.93,Fail
1.87,85.36,4.3,81.7,Fail
0.41,71.29,7.85,59.09,Fail
5.91,98.11,9.32,76.49,Pass
6.78,71.19,5.95,83.52,Pass
0.17,61.97,8.83,52.96,Fail
5.12,55.77,4.76,92.59,Fail
2.26,60.41,8.34,90.31,Fail
6.45,78.61,4.48,58.93,Pass
1.74,62.25,5.55,87.78,Fail
6.91,82.71,6.16,53.6,Pass
3.87,69.11,4.94,80.64,Fail
9.37,94.34,5.11,97.98,Pass
1.38,77.92,8.19,51.81,Fail
3.41,81.13,4.57,70.08,Fail
1.13,77.83,9.6,55.22,Fail
9.25,94.28,8.61,64.82,Pass
8.77,53.17,6.14,45.25,Pass
2.58,53.37,7.77,59.97,Fail
6.6,85.09,8.32,75.12,Pass
8.17,88.4,7.57,54.12,Pass
5.55,71.68,7.71,50.23,Pass
5.3,67.62,9.5,53.17,Pass
2.42,63.9,9.29,51.87,Fail
0.93,61.72,9.48,41.23,Fail
8.97,95.6,9.31,93.44,Pass
9.0,64.76,8.11,96.9,Pass
6.33,82.4,6.95,48.53,Pass
3.39,89.35,6.92,73.17,Fail
3.49,51.1,8.63,52.06,Fail
7.26,51.69,9.54,70.61,Pass
8.97,66.66,4.53,50.53,Pass
8.87,84.8,9.26,34.26,Pass
7.8,63.04,9.1,40.48,Pass
6.42,50.07,4.53,66.62,Fail
0.84,64.41,7.94,47.46,Fail
1.62,54.51,9.83,63.85,Fail
8.99,60.97,9.11,93.7,Pass
6.06,66.66,4.38,32.87,Fail
0.09,56.4,9.55,87.07,Fail
1.01,85.32,5.04,64.08,Fail
6.64,62.8,4.43,40.8,Fail
0.05,83.05,5.37,46.25,Fail
1.61,79.95,6.9,99.36,Fail
5.49,94.9,8.89,54.34,Pass
6.92,54.4,5.6,34.54,Fail
6.52,60.73,6.34,71.0,Pass
2.24,93.26,4.85,43.45,Fail
7.12,91.11,5.75,92.89,Pass
2.37,59.61,9.41,54.82,Fail
3.25,55.39,8.08,73.28,Fail
7.46,92.81,8.04,89.61,Pass
6.5,58.91,5.5,98.89,Pass
8.49,93.56,4.88,97.09,Pass
6.58,98.06,9.32,37.87,Pass
5.68,61.04,9.66,53.64,Pass
0.94,92.02,4.32,75.01,Fail
3.68,71.19,7.18,38.69,Fail
2.65,89.44,6.64,56.79,Fail
2.44,70.37,8.43,96.53,Pass
9.73,53.52,5.81,43.35,Pass
3.93,85.63,7.72,64.79,Pass
8.92,57.53,4.5,33.47,Pass
6.31,96.35,8.94,74.8,Pass
7.95,70.89,5.43,71.52,Pass
5.03,54.1,5.88,88.48,Pass
5.77,61.42,6.27,91.03,Pass
4.93,93.13,5.24,44.87,Fail
1.95,66.05,8.85,90.15,Fail
7.22,92.82,4.41,98.6,Pass
2.81,58.61,9.6,91.93,Pass
0.24,73.41,9.58,90.46,Fail
6.45,93.91,8.96,70.04,Pass
1.77,52.42,9.71,75.86,Fail
9.4,65.21,8.57,85.18,Pass
9.54,95.49,7.38,42.48,Pass
9.15,79.83,8.33,98.42,Pass
3.7,85.81,4.02,50.87,Fail
0.15,92.11,8.11,66.02,Fail
9.28,76.18,4.25,68.37,Pass
4.28,92.27,9.33,88.57,Pass
9.67,81.94,9.38,62.6,Pass
9.64,84.28,4.69,59.01,Pass
8.53,57.64,8.08,54.77,Pass
2.94,96.95,8.01,91.91,Pass
3.85,89.8,6.99,89.61,Pass
8.51,62.71,4.15,60.04,Pass
3.17,79.0,4.68,59.1,Fail
1.69,68.82,7.96,43.24,Fail
5.57,83.02,7.18,65.23,Pass
9.36,99.69,4.28,53.77,Pass
6.96,52.29,7.11,58.42,Pass
5.7,97.63,9.1,43.7,Pass
0.97,53.62,9.34,73.07,Fail
6.15,73.04,8.18,60.53,Pass
9.9,74.11,7.98,93.45,Pass
1.4,63.44,8.61,59.83,Fail
5.18,78.33,4.8,85.19,Pass
8.77,91.7,5.14,71.63,Pass
7.41,64.7,6.91,92.91,Pass
6.97,53.52,6.71,90.19,Pass
7.02,81.61,5.11,90.49,Pass
3.59,87.59,8.07,98.47,Pass
2.94,97.73,8.45,37.59,Fail
8.09,57.98,5.63,49.42,Pass
8.1,95.07,5.88,30.01,Pass
8.67,74.11,5.54,86.45,Pass
9.13,61.79,5.67,78.76,Pass
5.11,98.14,6.19,95.14,Pass
5.02,61.92,6.65,79.56,Pass
7.98,86.67,6.91,34.13,Pass
6.5,89.24,6.91,45.18,Pass
7.02,71.53,7.7,36.5,Pass
7.96,84.5,6.06,31.14,Pass
8.9,78.62,7.02,49.05,Pass
3.38,59.6,7.04,70.55,Fail
3.76,87.99,4.58,90.97,Fail
0.94,96.4,7.78,76.46,Fail
5.78,74.43,5.67,42.94,Fail
0.36,99.72,4.28,63.67,Fail
4.66,71.4,7.88,46.06,Fail
5.43,73.99,4.29,71.75,Fail
2.87,83.69,6.65,72.0,Fail
5.91,59.29,7.73,54.88,Pass
0.31,95.1,9.99,41.67,Fail
0.37,90.06,7.09,80.22,Fail
8.23,93.62,5.91,50.95,Pass
3.6,80.48,6.95,95.01,Pass
1.27,94.19,5.17,57.56,Fail
5.22,84.0,6.63,30.54,Fail
7.7,75.58,9.24,67.8,Pass
2.16,96.59,4.82,65.74,Fail
6.23,71.99,7.18,54.72,Pass
0.85,75.03,7.72,39.07,Fail
0.52,58.48,5.88,77.47,Fail
5.31,97.38,8.42,50.92,Pass
5.41,61.05,7.98,33.15,Fail
6.37,60.07,6.78,94.03,Pass
7.26,55.06,7.84,41.28,Pass
9.76,72.67,9.04,40.48,Pass
5.16,63.68,7.6,40.2,Fail
3.23,87.04,7.41,46.9,Fail
7.95,65.38,7.73,46.27,Pass
2.71,86.04,8.05,39.71,Fail
4.39,59.8,6.42,83.45,Fail
0.78,61.5,9.02,80.61,Fail
0.25,90.31,9.54,32.78,Fail
9.63,68.55,7.73,38.67,Pass
8.36,55.59,9.32,85.57,Pass
6.96,98.07,8.47,67.24,Pass
4.09,58.87,6.54,44.69,Fail
1.73,57.51,6.98,85.31,Fail
1.56,67.92,7.42,81.95,Fail
2.5,54.78,9.63,80.87,Fail
5.49,57.78,7.89,35.92,Fail
7.15,92.32,7.05,82.74,Pass
6.6,58.58,4.74,58.05,Fail
2.8,55.57,8.0,45.15,Fail
9.55,94.0,7.33,62.31,Pass
7.38,72.19,9.64,50.89,Pass
5.54,57.86,6.05,91.02,Pass
6.12,79.08,8.77,66.13,Pass
4.2,52.08,5.7,78.83,Fail
2.48,71.37,5.03,36.0,Fail
3.56,79.52,4.07,52.1,Fail
7.58,97.86,9.37,77.94,Pass
0.14,66.32,6.67,49.63,Fail
1.16,88.25,5.69,70.24,Fail
0.46,56.63,6.42,49.48,Fail
0.41,71.68,8.27,47.81,Fail
8.55,61.16,6.36,45.34,Pass
7.04,74.62,5.35,46.04,Pass
4.74,70.86,4.53,82.31,Fail
0.98,98.99,7.73,32.47,Fail
4.92,95.87,9.84,47.38,Pass
4.73,79.11,7.81,93.66,Pass
1.73,58.83,9.68,52.57,Fail
4.34,77.85,9.27,56.54,Pass
3.99,89.6,4.94,85.24,Pass
6.16,51.9,9.27,79.34,Pass
6.35,71.7,4.01,31.82,Fail
0.45,52.13,7.06,37.45,Fail
3.75,62.2,7.14,60.06,Fail
6.26,54.61,8.36,64.98,Pass
5.03,98.03,8.54,41.62,Pass
8.56,58.44,5.39,47.48,Pass
6.59,57.51,9.29,84.77,Pass
1.63,98.6,5.07,57.2,Fail
0.71,75.8,9.77,85.4,Fail
6.42,87.9,9.91,82.27,Pass
0.27,66.37,8.18,56.12,Fail
5.86,76.64,7.89,88.8,Pass
9.4,50.34,9.88,73.17,Pass
5.75,70.44,5.45,32.04,Fail
3.88,77.75,7.86,43.72,Fail
6.43,75.72,6.44,44.44,Pass
4.58,70.29,5.01,30.65,Fail
5.46,89.4,4.77,78.88,Pass
9.41,75.08,8.2,80.32,Pass
3.86,81.81,5.37,87.16,Fail
9.61,59.23,7.6,63.93,Pass
9.05,93.08,5.43,53.29,Pass
1.96,68.14,6.72,76.78,Fail
0.69,74.11,8.45,82.69,Fail
1.01,67.61,7.17,84.39,Fail
0.18,94.6,9.23,66.38,Fail
0.94,95.04,7.16,48.29,Fail
6.83,61.21,5.17,36.42,Fail
0.71,87.64,9.38,64.93,Fail
3.19,55.14,6.51,52.91,Fail
8.45,51.49,9.2,95.08,Pass
0.23,91.83,5.39,98.73,Fail
8.14,56.56,7.82,31.37,Pass
2.82,57.74,4.99,94.53,Fail
1.18,80.33,4.48,64.9,Fail
6.97,90.84,9.99,79.6,Pass
6.29,59.48,4.06,42.65,Fail
8.77,55.71,7.55,91.06,Pass
7.35,53.87,4.08,40.43,Fail
8.03,51.24,7.31,81.86,Pass
2.82,55.82,4.6,82.68,Fail
1.77,97.13,8.73,32.29,Fail
7.51,54.76,5.76,71.14,Pass
8.07,79.88,6.07,75.06,Pass
9.91,96.05,5.51,83.75,Pass
4.13,81.39,4.68,76.32,Fail
3.72,51.64,7.0,33.69,Fail
7.76,79.82,6.69,63.6,Pass
3.41,95.15,7.24,87.59,Pass
9.31,66.13,7.76,71.99,Pass
8.58,65.68,4.53,40.66,Pass
4.29,62.44,6.48,41.9,Fail
7.51,75.28,7.56,51.91,Pass
7.55,61.9,5.94,65.78,Pass
1.03,86.19,5.15,53.07,Fail
9.03,82.24,7.64,43.44,Pass
5.05,70.04,8.31,72.76,Pass
8.26,86.13,8.5,87.43,Pass
3.2,54.92,5.95,72.94,Fail
8.96,87.48,4.59,40.41,Pass
3.89,80.15,9.49,32.94,Fail
0.11,81.5,8.13,71.4,Fail
9.05,53.23,9.69,98.51,Pass
0.91,80.91,4.87,43.25,Fail
3.19,74.71,7.94,72.59,Fail
9.5,74.29,5.18,63.03,Pass
9.51,66.09,9.2,88.37,Pass
5.73,50.38,7.12,34.15,Fail
6.32,71.13,7.2,60.63,Pass
4.48,70.05,9.58,51.0,Pass
2.93,71.14,5.82,47.09,Fail
3.29,80.6,7.71,81.82,Pass
6.73,65.0,4.87,44.25,Fail
7.52,63.47,6.18,55.42,Pass
7.92,74.89,5.17,92.45,Pass
7.9,79.62,5.21,83.88,Pass
0.91,78.37,7.97,77.42,Fail
4.94,94.08,5.72,55.7,Pass
0.58,88.46,5.51,76.26,Fail
5.5,52.61,8.85,41.19,Fail
4.42,78.17,6.84,73.51,Pass
8.88,70.89,6.28,45.28,Pass
3.51,68.05,8.89,41.6,Fail
1.17,97.89,6.93,81.54,Fail
1.43,72.84,8.89,87.17,Fail
7.62,85.97,5.91,89.15,Pass
6.18,98.35,9.77,34.91,Pass
1.01,57.55,9.54,39.13,Fail
0.84,52.73,8.94,93.06,Fail
7.01,65.68,5.28,57.26,Pass
0.73,52.22,8.36,80.87,Fail
8.22,55.84,8.91,53.61,Pass
7.06,99.59,6.18,44.65,Pass
0.81,98.01,4.84,96.37,Fail
0.85,84.56,5.62,45.09,Fail
9.87,87.65,7.51,73.51,Pass
3.74,57.02,5.51,53.53,Fail
3.71,79.76,7.97,94.9,Pass
8.13,57.72,6.35,87.07,Pass
9.47,68.92,5.35,48.22,Pass
9.86,67.27,7.68,58.75,Pass
7.53,80.7,4.44,67.81,Pass
3.76,53.98,7.75,32.82,Fail
0.84,55.17,9.85,51.71,Fail
7.77,80.5,8.27,76.14,Pass
5.58,81.81,5.97,34.64,Fail
4.24,66.99,9.41,51.32,Fail
9.06,57.34,7.17,75.98,Pass
1.11,94.3,7.17,46.4,Fail
4.93,52.65,6.27,45.95,Fail
0.11,85.87,4.31,44.09,Fail
4.69,57.0,5.62,86.13,Fail
0.56,81.87,8.91,83.82,Fail
1.19,83.18,5.56,80.68,Fail
1.18,90.21,6.47,87.54,Fail
6.49,69.75,7.8,39.13,Pass
7.46,51.09,5.69,77.35,Pass
5.83,90.55,8.87,64.18,Pass
9.62,72.2,9.39,51.66,Pass
3.75,92.35,4.37,56.52,Fail
2.86,88.8,7.45,65.52,Fail
8.69,74.92,6.1,58.67,Pass
2.24,99.97,7.33,40.51,Fail
9.63,73.1,7.28,70.14,Pass
0.12,84.83,4.06,33.26,Fail
9.7,83.49,7.89,46.46,Pass
0.43,75.9,5.3,83.8,Fail
8.91,79.27,7.35,50.55,Pass
5.28,89.93,9.37,95.68,Pass
9.93,78.58,5.15,88.63,Pass
0.74,72.51,5.62,56.86,Fail
5.54,83.1,4.38,92.96,Pass
9.69,51.78,6.95,41.93,Pass
5.23,55.46,9.22,43.89,Fail
6.29,56.27,7.27,88.65,Pass
6.96,71.29,6.11,87.66,Pass
4.55,93.59,9.43,82.31,Pass
6.28,82.16,7.19,85.27,Pass
5.84,98.63,9.84,69.35,Pass
9.01,52.0,8.5,35.38,Pass
0.45,86.1,9.47,92.59,Fail
2.81,65.71,7.89,39.19,Fail
9.5,51.16,9.94,42.0,Pass
8.9,91.3,7.15,85.49,Pass
4.56,58.13,7.84,33.58,Fail
6.2,60.7,4.81,64.37,Fail
2.77,67.02,9.62,48.7,Fail
1.88,89.42,6.01,53.78,Fail
4.64,81.23,7.99,57.19,Pass
3.53,63.24,6.16,42.18,Fail
5.84,58.42,9.31,86.35,Pass
0.78,55.48,4.66,49.99,Fail
9.74,57.49,9.41,58.62,Pass
9.86,93.41,7.75,35.27,Pass
6.98,96.13,9.74,36.83,Pass
5.36,98.4,7.02,71.73,Pass
3.1,91.74,6.96,59.65,Fail
8.14,94.37,6.15,64.24,Pass
6.85,90.81,5.97,71.93,Pass
1.63,97.9,4.74,89.74,Fail
9.11,92.28,5.96,46.54,Pass
8.23,73.1,7.65,33.03,Pass
9.5,66.16,4.51,64.77,Pass
7.26,79.21,5.12,69.87,Pass
6.13,80.41,9.16,33.07,Pass
4.18,78.75,4.55,39.22,Fail
9.33,85.34,5.45,91.35,Pass
8.66,84.95,4.02,30.93,Pass
0.45,54.36,8.31,85.77,Fail
0.26,64.28,9.11,78.99,Fail
3.76,94.49,9.28,96.81,Pass
8.11,79.5,9.4,45.95,Pass
9.87,66.43,6.42,45.24,Pass
1.5,92.52,7.36,67.41,Fail
5.94,62.45,8.07,63.9,Pass
3.81,70.46,9.49,76.04,Pass
9.7,63.81,8.78,78.05,Pass
8.42,93.57,6.93,33.9,Pass
8.38,86.41,7.06,71.6,Pass
4.69,73.01,6.02,77.91,Pass
4.15,96.62,4.07,58.42,Fail
2.73,96.37,4.87,92.49,Fail
0.56,85.58,5.99,62.1,Fail
8.65,94.6,7.64,84.22,Pass
8.13,85.97,8.28,36.8,Pass
10.0,81.41,9.35,95.96,Pass
9.97,71.04,7.33,63.93,Pass
5.55,63.67,6.36,43.2,Fail
7.69,53.01,8.15,37.5,Pass
9.45,90.04,6.35,64.79,Pass
8.5,56.11,4.65,43.41,Pass
2.47,70.52,4.02,46.64,Fail
4.51,61.73,8.25,33.5,Fail
1.29,72.73,9.39,94.72,Fail
9.54,65.75,8.07,57.72,Pass
6.06,91.48,4.17,86.29,Pass
2.29,98.91,5.32,85.92,Fail
6.72,97.08,9.68,82.85,Pass
6.18,81.12,8.26,86.68,Pass
3.58,98.96,8.42,31.65,Fail
1.14,70.04,8.84,79.93,Fail
6.72,76.12,9.48,85.64,Pass
5.2,62.84,6.64,56.92,Fail
7.72,94.9,6.58,66.06,Pass
5.2,58.99,4.14,87.34,Fail
8.52,80.52,9.62,94.71,Pass
5.52,89.97,4.78,59.36,Pass
5.61,79.77,6.7,53.21,Pass
8.77,53.94,7.6,43.55,Pass
4.03,80.57,9.96,45.92,Pass
1.34,88.35,6.4,52.24,Fail
0.29,59.39,8.01,31.94,Fail
7.55,86.85,9.72,88.15,Pass
6.2,93.93,7.43,90.73,Pass
7.04,99.32,7.21,37.44,Pass
2.13,70.5,7.44,87.74,Fail
1.36,51.26,8.91,73.33,Fail
0.15,70.95,4.26,50.39,Fail
3.51,83.01,8.56,42.32,Fail
5.9,94.57,5.03,89.61,Pass
3.92,96.91,8.6,89.77,Pass
4.37,95.48,8.8,65.28,Pass
9.04,82.9,7.76,96.64,Pass
3.48,84.13,6.63,70.73,Fail
5.14,50.12,8.39,63.11,Fail
7.84,68.19,4.11,42.95,Pass
3.97,95.34,7.89,41.13,Fail
6.22,84.48,5.39,45.66,Pass
8.62,73.4,7.96,93.58,Pass
9.5,55.21,4.83,46.44,Pass
1.47,62.32,5.08,93.51,Fail
9.27,77.75,6.71,82.96,Pass
4.92,94.88,7.18,66.1,Pass
2.58,54.79,6.5,57.08,Fail
4.59,57.69,7.67,44.35,Fail
9.8,82.75,4.32,75.12,Pass
4.93,64.71,5.16,98.14,Pass
3.29,58.49,4.02,92.07,Fail
6.33,58.92,7.4,50.44,Pass
2.4,74.63,8.14,98.93,Pass
0.76,79.19,6.9,85.89,Fail
1.29,95.22,6.77,77.26,Fail
1.28,76.49,6.55,37.3,Fail
1.52,84.56,6.02,85.21,Fail
1.39,59.03,7.53,37.55,Fail
6.41,85.67,4.04,64.89,Pass
1.82,82.43,7.57,84.62,Fail
3.46,60.81,6.94,38.83,Fail
8.97,83.47,7.75,92.82,Pass
4.74,60.57,9.13,94.06,Pass
6.68,79.68,8.97,73.91,Pass
1.72,83.44,8.84,80.56,Fail
1.92,84.67,6.47,59.73,Fail
0.41,95.46,6.34,54.97,Fail
1.69,97.39,5.24,84.48,Fail
2.79,90.51,4.19,41.23,Fail
1.77,93.94,7.03,69.57,Fail
0.89,50.97,9.85,65.09,Fail
1.21,68.13,8.51,82.15,Fail
4.61,51.99,7.28,89.41,Pass
2.06,61.24,5.79,75.13,Fail
3.64,69.09,4.73,95.3,Fail
5.03,93.38,5.58,60.38,Pass
6.9,75.59,7.21,89.01,Pass
0.39,82.44,7.74,43.17,Fail
7.99,68.14,6.2,30.28,Pass
6.28,80.15,4.63,74.13,Pass
0.82,90.78,5.58,42.46,Fail
8.74,65.06,5.54,98.43,Pass
9.21,96.61,7.21,34.46,Pass
0.61,60.67,4.62,69.14,Fail
2.77,95.97,5.73,90.87,Fail
8.06,51.41,6.06,71.36,Pass
7.48,77.14,7.16,64.17,Pass
1.85,99.26,5.79,65.07,Fail
2.09,80.49,4.9,40.88,Fail
3.7,77.74,4.15,60.36,Fail
4.85,84.12,5.04,95.5,Pass
6.18,64.47,8.95,32.46,Pass
3.69,52.7,6.1,75.58,Fail
4.63,62.55,7.23,75.42,Pass
7.47,58.81,6.94,94.8,Pass
0.37,96.18,5.66,38.0,Fail
2.52,92.61,9.06,78.93,Pass
7.13,65.89,9.63,88.89,Pass
8.95,91.8,5.27,37.74,Pass
5.12,60.59,8.84,49.19,Pass
5.32,59.98,8.53,69.6,Pass
1.07,88.38,9.03,30.51,Fail
4.47,66.35,6.45,37.12,Fail
5.33,53.24,8.12,33.38,Fail
2.42,86.0,5.14,30.19,Fail
2.69,99.48,9.81,70.53,Pass
3.77,78.3,8.34,66.28,Pass
0.2,63.18,4.46,63.18,Fail
3.22,68.65,9.27,97.98,Pass
2.11,82.43,9.75,68.6,Fail
3.27,85.07,6.0,96.56,Pass
1.2,94.32,7.23,72.0,Fail
8.91,95.44,9.95,74.56,Pass
5.94,93.06,6.71,37.76,Pass
6.79,82.42,7.99,59.46,Pass
7.89,72.49,6.71,89.04,Pass
4.98,83.97,4.45,89.28,Pass
0.87,83.33,7.06,88.32,Fail
5.37,60.9,8.96,73.75,Pass
5.87,75.38,4.25,62.17,Fail
7.45,60.41,6.65,79.38,Pass
4.32,94.96,8.93,54.93,Pass
1.28,66.16,6.12,51.55,Fail
2.84,90.27,9.86,84.77,Pass
3.63,68.86,6.3,52.39,Fail
6.46,88.19,8.7,41.6,Pass
5.71,61.05,5.47,98.29,Pass
3.56,88.19,5.99,66.24,Fail
9.87,58.98,8.33,49.75,Pass
6.06,74.54,4.34,61.41,Pass
2.37,55.68,4.56,41.25,Fail
1.02,76.39,5.6,50.17,Fail
1.53,91.04,5.5,60.95,Fail
2.46,87.78,4.4,43.35,Fail
1.61,52.54,9.83,78.5,Fail
1.87,74.61,5.76,39.78,Fail
2.85,92.61,8.34,90.68,Pass
1.73,82.51,6.36,79.19,Fail
8.97,52.96,9.95,67.03,Pass
0.8,66.28,4.84,87.79,Fail
5.25,77.83,6.25,33.77,Fail
4.1,58.63,6.59,78.19,Fail
9.82,84.1,8.3,43.04,Pass
1.12,81.74,6.98,50.01,Fail
3.98,60.12,8.5,57.88,Fail
9.69,77.52,9.05,66.98,Pass
8.66,90.59,5.74,82.99,Pass
8.17,68.74,8.82,45.13,Pass
2.58,62.35,6.95,70.36,Fail
1.71,85.06,4.46,48.71,Fail
6.69,53.54,5.78,40.69,Fail
9.29,91.63,8.82,93.98,Pass
5.57,97.17,6.33,62.88,Pass
5.72,98.24,4.56,43.42,Pass
2.8,71.63,7.83,87.72,Fail
7.69,81.16,9.1,52.31,Pass
1.87,92.87,4.8,39.11,Fail
3.24,61.17,7.26,34.29,Fail
4.25,51.39,5.25,53.41,Fail
5.08,69.23,6.03,89.45,Pass
2.42,94.22,6.48,60.22,Fail
1.15,75.25,4.03,42.19,Fail
6.11,76.51,6.13,50.82,Pass
